match.id	match.id.slot	duration.min	radiant.win	num.players	player.slot	kills	deaths	assists	gold.p.min	xp.p.min	isRadiant	win	hero.dmg	hero.heal	last.hits	denies	tower.dmg	runes	obs.set	stuns	first.blood	match.kills
5544713691	5544713691|130	32.83	True	10	130	6	8	6	452	507	False	0	13009	0	208	20	2618	3.0	0.0	63.7948	0	60
5544713691	5544713691|131	32.83	True	10	131	2	11	7	335	331	False	0	13036	0	119	0	0	6.0	1.0	16.261963	0	60
5544713691	5544713691|132	32.83	True	10	132	7	5	5	482	507	False	0	12265	0	230	43	1198	0.0	0.0	0.0	0	60
5544769798	5544769798|0	32.27	False	10	0	0	9	6	382	443	True	0	10607	2535	194	13	303	6.0	0.0	40.270264	0	57
5544769798	5544769798|1	32.27	False	10	1	5	8	4	368	412	True	0	25472	0	166	35	1518	3.0	2.0	0.0	0	57
5544769798	5544769798|2	32.27	False	10	2	0	10	9	200	249	True	0	8401	420	50	1	0	6.0	9.0	27.637783	0	57
5544769798	5544769798|3	32.27	False	10	3	3	8	5	238	361	True	0	10546	805	24	2	0	3.0	3.0	10.03418	0	57
5544769798	5544769798|4	32.27	False	10	4	6	8	1	488	563	True	0	18730	0	252	10	1065	3.0	0.0	5.5856247	0	57
5544769798	5544769798|128	32.27	False	10	128	4	5	17	336	445	False	1	8719	7661	33	4	0	6.0	5.0	56.00615	0	57
5544769798	5544769798|129	32.27	False	10	129	1	4	29	299	545	False	1	12837	6993	66	4	86	6.0	6.0	65.72412	0	57
5544769798	5544769798|130	32.27	False	10	130	13	2	18	557	758	False	1	19930	0	160	17	973	4.0	2.0	85.62776	0	57
5544769798	5544769798|131	32.27	False	10	131	19	0	18	742	952	False	1	44234	0	274	11	5392	4.0	0.0	0.0	1	57
5544769798	5544769798|132	32.27	False	10	132	6	3	26	459	697	False	1	23670	2340	146	9	748	3.0	0.0	0.0	0	57
5545964222	5545964222|0	22.77	False	10	0	1	5	3	234	298	True	0	9809	328	57	2	60	3.0	7.0	12.14502	0	39
5545964222	5545964222|1	22.77	False	10	1	0	5	1	295	341	True	0	5711	115	100	4	1246	3.0	0.0	13.1085205	0	39
5545964222	5545964222|2	22.77	False	10	2	4	8	4	235	263	True	0	11891	0	17	1	22	3.0	3.0	0.0	0	39
5545964222	5545964222|3	22.77	False	10	3	2	5	5	410	460	True	0	7390	0	160	20	1501	0.0	0.0	10.305712	0	39
5545964222	5545964222|4	22.77	False	10	4	1	6	5	406	404	True	0	15495	125	163	5	465	2.0	1.0	46.770634	0	39
5545964222	5545964222|128	22.77	False	10	128	9	1	7	559	693	False	1	14567	330	140	7	1173	4.0	2.0	12.615234	0	39
5545964222	5545964222|129	22.77	False	10	129	4	2	15	541	645	False	1	13606	0	96	17	631	5.0	0.0	15.356931	0	39
5545964222	5545964222|130	22.77	False	10	130	8	1	14	644	665	False	1	15212	1281	207	16	4468	3.0	0.0	23.68174	0	39
5545964222	5545964222|131	22.77	False	10	131	4	1	11	340	457	False	1	8750	0	51	0	420	5.0	4.0	10.512032	1	39
5545964222	5545964222|132	22.77	False	10	132	4	3	13	304	296	False	1	4872	3038	30	0	214	5.0	5.0	0.0	0	39
5546020044	5546020044|0	28.25	False	10	0	3	5	4	444	518	True	0	24869	0	198	5	0	1.0	0.0	0.0	0	52
5546020044	5546020044|1	28.25	False	10	1	3	9	3	352	379	True	0	9012	200	91	5	0	2.0	0.0	20.748146	0	52
5546020044	5546020044|2	28.25	False	10	2	3	9	7	233	325	True	0	14757	420	45	1	0	5.0	3.0	15.347767	0	52
5546020044	5546020044|3	28.25	False	10	3	4	6	5	483	558	True	0	14277	455	220	7	209	2.0	1.0	14.556715	0	52
5546020044	5546020044|4	28.25	False	10	4	1	10	8	249	244	True	0	7729	432	30	4	0	3.0	8.0	82.57263	0	52
5546020044	5546020044|128	28.25	False	10	128	3	5	17	428	385	False	1	8341	4888	121	5	5796	7.0	8.0	0.0	0	52
5546020044	5546020044|129	28.25	False	10	129	15	1	10	513	596	False	1	18407	0	115	4	2470	6.0	0.0	0.0	0	52
5546020044	5546020044|130	28.25	False	10	130	1	4	22	329	575	False	1	13747	0	32	0	1202	4.0	5.0	64.937416	0	52
5546020044	5546020044|131	28.25	False	10	131	13	4	13	521	567	False	1	19995	0	136	14	3953	4.0	1.0	75.72826	0	52
5546020044	5546020044|132	28.25	False	10	132	7	0	12	780	855	False	1	23632	0	350	13	9903	0.0	0.0	5.184326	1	52
5546067675	5546067675|0	47.13	False	10	0	13	6	12	537	583	True	0	29609	0	335	33	4911	5.0	0.0	12.268024	0	74
5546067675	5546067675|1	47.13	False	10	1	9	5	20	573	713	True	0	33967	125	398	5	1041	10.0	1.0	67.5647	0	74
5546067675	5546067675|2	47.13	False	10	2	16	4	7	423	513	True	0	33342	0	197	4	1759	7.0	0.0	91.726295	0	74
5546067675	5546067675|3	47.13	False	10	3	3	7	21	271	406	True	0	13008	0	83	4	0	7.0	7.0	80.01143	0	74
5546067675	5546067675|4	47.13	False	10	4	3	9	18	255	332	True	0	11026	4415	44	2	124	6.0	14.0	0.0	0	74
5546067675	5546067675|128	47.13	False	10	128	0	15	14	329	432	False	1	6424	1638	124	3	424	2.0	19.0	5.5653076	0	74
5546067675	5546067675|129	47.13	False	10	129	3	9	15	323	510	False	1	15051	0	100	11	614	2.0	0.0	25.616747	1	74
5546067675	5546067675|130	47.13	False	10	130	9	6	13	590	708	False	1	39254	0	364	20	3620	6.0	1.0	49.081932	0	74
5546067675	5546067675|131	47.13	False	10	131	2	11	16	241	462	False	1	12402	0	25	2	281	6.0	3.0	33.750294	0	74
5546067675	5546067675|132	47.13	False	10	132	17	4	8	775	737	False	1	45003	0	480	27	18092	6.0	0.0	25.50616	0	74
