year,country,region,pf_ss_women_fgm,pf_ss_women_inheritance,pf_movement_women,pf_identity_sex_female,pf_identity_divorce,pf_score,ef_score,hf_score,sex,age,suicides_no,population,suicides_p100k,gdp_per_capita
2016,Sweden,Western Europe,10,10,10,10,5,9.334750298,7.44,8.387375149,male,75+,100,359481,27.82,55594
2016,Sweden,Western Europe,10,10,10,10,5,9.334750298,7.44,8.387375149,male,55-74,232,1106411,20.97,55594
2016,Sweden,Western Europe,10,10,10,10,5,9.334750298,7.44,8.387375149,male,35-54,266,1299990,20.46,55594
2016,Sweden,Western Europe,10,10,10,10,5,9.334750298,7.44,8.387375149,male,25-34,114,670158,17.01,55594
2016,Sweden,Western Europe,10,10,10,10,5,9.334750298,7.44,8.387375149,male,15-24,70,605396,11.56,55594
2016,Sweden,Western Europe,10,10,10,10,5,9.334750298,7.44,8.387375149,female,35-54,119,1257582,9.46,55594
2016,Sweden,Western Europe,10,10,10,10,5,9.334750298,7.44,8.387375149,female,55-74,104,1120938,9.28,55594
2016,Sweden,Western Europe,10,10,10,10,5,9.334750298,7.44,8.387375149,female,75+,45,493341,9.12,55594
2016,Sweden,Western Europe,10,10,10,10,5,9.334750298,7.44,8.387375149,female,25-34,44,641572,6.86,55594
2016,Sweden,Western Europe,10,10,10,10,5,9.334750298,7.44,8.387375149,female,15-24,36,570983,6.3,55594
2016,Thailand,South Asia,10,5,10,10,0,6.399562601,6.85,6.624781301,male,55-74,734,5203957,14.1,6713
2016,Thailand,South Asia,10,5,10,10,0,6.399562601,6.85,6.624781301,male,35-54,1421,10084647,14.09,6713
2016,Thailand,South Asia,10,5,10,10,0,6.399562601,6.85,6.624781301,male,75+,152,1124052,13.52,6713
2016,Thailand,South Asia,10,5,10,10,0,6.399562601,6.85,6.624781301,male,25-34,646,4796355,13.47,6713
2016,Thailand,South Asia,10,5,10,10,0,6.399562601,6.85,6.624781301,male,15-24,322,4736305,6.8,6713
2016,Thailand,South Asia,10,5,10,10,0,6.399562601,6.85,6.624781301,female,75+,69,1589015,4.34,6713
2016,Thailand,South Asia,10,5,10,10,0,6.399562601,6.85,6.624781301,female,55-74,222,6049756,3.67,6713
2016,Thailand,South Asia,10,5,10,10,0,6.399562601,6.85,6.624781301,female,35-54,375,10629684,3.53,6713
2016,Thailand,South Asia,10,5,10,10,0,6.399562601,6.85,6.624781301,female,25-34,116,4702656,2.47,6713
2016,Thailand,South Asia,10,5,10,10,0,6.399562601,6.85,6.624781301,female,15-24,60,4525574,1.33,6713
2015,Argentina,Latin America & the Caribbean,10,10,10,10,10,8.025095551,4.98,6.502547776,male,75+,245,712691,34.38,14981
2015,Argentina,Latin America & the Caribbean,10,10,10,10,10,8.025095551,4.98,6.502547776,male,15-24,656,3500580,18.74,14981
2015,Argentina,Latin America & the Caribbean,10,10,10,10,10,8.025095551,4.98,6.502547776,male,55-74,431,3011963,14.31,14981
2015,Argentina,Latin America & the Caribbean,10,10,10,10,10,8.025095551,4.98,6.502547776,male,25-34,465,3289927,14.13,14981
2015,Argentina,Latin America & the Caribbean,10,10,10,10,10,8.025095551,4.98,6.502547776,male,35-54,633,5166179,12.25,14981
2015,Argentina,Latin America & the Caribbean,10,10,10,10,10,8.025095551,4.98,6.502547776,female,15-24,153,3394201,4.51,14981
2015,Argentina,Latin America & the Caribbean,10,10,10,10,10,8.025095551,4.98,6.502547776,female,55-74,125,3520779,3.55,14981
2015,Argentina,Latin America & the Caribbean,10,10,10,10,10,8.025095551,4.98,6.502547776,female,25-34,114,3235582,3.52,14981
2015,Argentina,Latin America & the Caribbean,10,10,10,10,10,8.025095551,4.98,6.502547776,female,35-54,166,5301368,3.13,14981
2015,Argentina,Latin America & the Caribbean,10,10,10,10,10,8.025095551,4.98,6.502547776,female,75+,27,1344980,2.01,14981
2015,Argentina,Latin America & the Caribbean,10,10,10,10,10,8.025095551,4.98,6.502547776,male,5-14,39,3672155,1.06,14981
2015,Argentina,Latin America & the Caribbean,10,10,10,10,10,8.025095551,4.98,6.502547776,female,5-14,19,3549219,0.54,14981
2015,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.871773061,7.59,7.23088653,male,75+,12,61355,19.56,3775
2015,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.871773061,7.59,7.23088653,male,55-74,16,231213,6.92,3775
2015,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.871773061,7.59,7.23088653,female,75+,5,100754,4.96,3775
2015,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.871773061,7.59,7.23088653,male,35-54,15,356715,4.21,3775
2015,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.871773061,7.59,7.23088653,male,25-34,10,255540,3.91,3775
2015,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.871773061,7.59,7.23088653,female,55-74,5,297936,1.68,3775
2015,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.871773061,7.59,7.23088653,female,15-24,3,212010,1.42,3775
2015,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.871773061,7.59,7.23088653,female,35-54,4,412360,0.97,3775
2015,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.871773061,7.59,7.23088653,male,15-24,2,216876,0.92,3775
2015,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.871773061,7.59,7.23088653,female,25-34,2,274108,0.73,3775
2015,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.871773061,7.59,7.23088653,female,5-14,0,175417,0,3775
2015,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.871773061,7.59,7.23088653,male,5-14,0,201051,0,3775
2015,Australia,Oceania,10,10,10,10,10,9.214745272,8,8.607372636,male,35-54,944,3149299,29.97,60656
2015,Australia,Oceania,10,10,10,10,10,9.214745272,8,8.607372636,male,75+,181,673787,26.86,60656
2015,Australia,Oceania,10,10,10,10,10,9.214745272,8,8.607372636,male,25-34,423,1762265,24,60656
2015,Australia,Oceania,10,10,10,10,10,9.214745272,8,8.607372636,male,55-74,457,2337430,19.55,60656
